"nodo","bridge_ei","grupo"
"total_alcohol",-0.0914134412350284,"Uso"
"total_cannabis",0.131308567465997,"Uso"
"total_pasta_base",0.0154185472667077,"Uso"
"total_cocaina",-0.0423521456550003,"Uso"
"total_benzodiacepinas",0,"Uso"
"total_otra_sustancia",0,"Uso"
"salud_psicologica",-0.0955150134167518,"Salud"
"salud_fisica",0.0779174384682764,"Salud"
"calidad_de_vida",-0.123734309207471,"Salud"
"total_trabajo",0.190524152517029,"Inclusión"
"total_educacion",0,"Inclusión"
"total_transgresion",0.137782930272638,"Riesgo"
