"nodo","bridge_ei","grupo"
"total_alcohol",-0.0202595394671495,"Uso"
"total_cannabis",0.140563844972761,"Uso"
"total_pasta_base",0.0213397976079307,"Uso"
"total_cocaina",0.0167533554075205,"Uso"
"total_benzodiacepinas",0.0150853955511508,"Uso"
"total_otra_sustancia",0,"Uso"
"salud_psicologica",-0.249683613692928,"Salud"
"salud_fisica",0.0161064324224418,"Salud"
"calidad_de_vida",-0.188161742956319,"Salud"
"total_trabajo",0.145983976328827,"Inclusión"
"total_educacion",0.0113451601879954,"Inclusión"
"total_transgresion",0.429686792128475,"Riesgo"
